Issue Number,Comment Count
4,3
5,3
7,2
9,1
17,11
40,5
43,1
44,3
45,1
47,1
49,3
55,2
56,1
58,0
59,2
65,7
73,2
85,3
86,2
88,2
89,2
90,4
91,1
93,2
94,3
95,2
96,1
97,1
98,3
100,1
101,2
102,2
103,5
104,4
105,1
106,1
109,4
110,2
111,1
112,2
113,3
114,1
115,3
119,1
120,2
122,8
123,1
124,5
125,2
126,0
127,3
129,2
131,10
132,2
133,5
134,3
136,3
137,1
138,1
140,5
141,1
142,2
144,1
146,0
147,1
148,1
149,1
150,0
151,0
152,7
153,3
154,2
155,1
156,1
157,1
159,2
160,1
162,1
164,1
165,2
166,1
167,3
168,3
169,4
170,0
171,1
174,4
175,3
176,2
178,2
180,2
181,5
182,1
184,1
185,3
186,1
187,6
188,2
189,1
190,5
191,2
194,1
195,4
197,0
198,0
199,2
200,1
201,2
202,2
203,5
204,0
207,1
208,1
209,1
210,1
211,1
212,1
213,2
214,2
215,1
216,8
217,4
218,2
219,3
220,2
222,3
223,2
224,6
225,1
226,1
227,1
228,0
229,2
233,2
234,1
235,2
236,8
237,1
238,2
239,6
240,7
241,1
242,0
243,1
244,0
245,1
246,4
247,3
248,2
249,12
251,4
252,1
253,1
254,10
255,4
256,1
257,3
258,2
259,11
260,2
262,1
265,2
266,0
267,0
268,2
269,5
271,3
272,2
274,12
277,1
278,1
279,1
280,3
281,0
282,1
283,1
284,5
285,0
287,0
288,1
289,1
290,1
291,0
292,4
293,3
294,1
295,1
296,1
297,5
298,2
299,6
301,3
302,1
303,2
304,1
305,2
306,0
307,1
308,1
309,2
310,1
311,0
312,1
313,1
314,2
315,4
316,13
317,1
318,3
319,0
320,1
321,8
322,3
324,4
326,2
327,1
328,1
330,2
331,2
332,7
333,1
334,4
335,0
336,24
337,5
338,0
339,3
341,1
342,1
343,2
344,2
345,15
346,3
347,6
348,0
349,4
350,11
351,1
353,2
354,1
355,2
356,1
357,4
358,3
359,2
360,2
361,4
363,2
364,3
365,5
366,3
367,1
368,6
369,1
370,1
371,1
372,12
373,1
374,2
376,1
377,6
378,1
379,1
380,5
381,8
382,4
383,1
384,1
386,1
387,1
388,6
389,4
391,2
392,1
393,1
394,20
395,1
396,0
397,1
398,2
399,6
400,0
401,0
402,4
403,5
404,2
405,3
406,0
407,5
408,1
409,3
410,7
411,2
412,4
413,1
414,0
415,0
416,1
417,1
419,0
420,7
421,4
422,1
423,7
424,0
425,1
426,1
427,0
428,6
429,1
430,0
431,1
432,3
434,15
435,1
436,1
437,2
438,5
439,1
440,7
441,2
442,1
443,3
444,1
445,3
446,10
447,0
448,1
449,5
450,7
451,1
452,1
453,2
454,4
455,2
456,4
457,5
458,1
459,3
460,0
461,1
462,4
463,2
464,1
465,3
466,5
467,7
468,2
469,8
470,3
471,0
472,3
473,3
474,1
475,5
476,0
477,1
478,5
479,6
480,2
481,1
482,4
483,1
484,2
485,1
486,0
487,2
488,2
489,7
490,5
491,3
492,2
493,3
494,3
498,100
499,1
500,4
503,2
504,6
505,1
506,1
507,1
508,1
509,1
510,1
511,2
512,3
513,1
514,3
515,1
516,11
517,1
518,6
519,2
520,4
521,18
522,1
524,1
525,0
526,2
527,3
528,5
529,1
530,1
531,2
532,1
533,6
534,2
535,7
536,1
537,6
538,8
539,0
540,3
541,1
542,1
543,0
544,2
545,1
546,3
547,5
548,0
549,1
550,1
551,2
552,1
553,1
554,1
555,1
556,17
557,2
558,1
559,0
560,1
561,9
562,6
563,0
564,2
565,2
566,2
567,1
568,2
569,1
570,2
571,0
572,8
573,1
574,1
575,1
576,3
577,8
578,8
579,1
580,11
581,3
582,1
583,5
584,4
585,2
586,1
587,0
588,2
590,11
593,1
595,2
599,2
601,4
604,2
605,1
606,4
607,2
608,1
609,1
620,1
621,1
622,32
623,0
624,3
625,2
626,1
627,5
628,4
629,2
630,0
631,4
632,4
634,1
640,1
642,4
643,1
644,6
645,4
646,3
647,3
648,4
649,5
650,1
652,2
653,1
654,3
655,1
656,2
657,0
658,2
659,5
660,6
661,3
663,2
664,5
666,2
667,1
668,5
669,2
670,5
671,1
672,10
673,1
674,2
675,1
676,2
677,2
678,5
679,2
680,1
681,1
683,3
684,3
685,1
686,1
687,7
688,4
689,1
690,2
691,3
692,3
693,1
695,2
696,4
697,5
698,0
699,2
700,1
702,2
703,1
704,1
705,3
708,0
709,0
710,5
711,4
712,1
713,5
714,1
715,5
716,2
717,1
718,5
719,1
720,1
721,2
722,2
723,5
724,0
725,1
726,4
727,1
729,1
730,2
731,0
732,3
733,1
741,3
743,5
744,6
745,4
747,0
748,1
749,4
750,6
751,4
752,3
753,1
755,1
757,2
758,4
759,2
760,2
761,0
762,2
763,4
764,2
767,3
770,13
771,4
772,1
775,1
776,2
777,4
780,1
781,3
782,1
785,2
789,1
790,4
791,5
792,0
793,1
794,7
795,8
796,5
797,7
798,4
800,3
801,4
802,7
803,1
804,1
805,0
806,1
807,9
808,1
809,1
810,1
811,14
812,1
813,2
814,7
815,3
816,2
817,2
818,8
819,1
820,3
822,1
823,6
827,14
828,4
829,1
830,1
832,0
837,6
838,6
839,4
840,8
841,3
844,3
845,13
846,4
847,5
848,1
849,3
850,3
851,4
852,2
854,6
855,3
856,4
857,5
858,7
859,7
860,1
861,3
862,7
863,6
865,2
866,6
867,1
868,1
869,4
870,3
873,6
875,2
876,3
877,2
878,2
882,0
883,3
884,4
885,1
886,1
890,10
891,1
892,3
893,3
894,2
895,5
896,4
897,3
898,0
899,3
900,4
901,4
902,1
903,1
906,3
908,0
909,1
910,10
911,2
912,5
913,10
914,1
915,2
916,5
917,3
918,3
919,6
920,1
921,1
922,3
923,3
924,2
925,4
926,1
928,9
929,4
930,1
931,1
932,1
933,6
934,2
935,1
936,4
937,4
938,2
939,2
940,2
941,2
942,3
943,1
944,2
945,2
946,2
947,3
948,3
949,2
950,2
951,3
952,7
953,2
954,0
955,3
956,5
957,1
958,5
960,1
961,6
963,5
965,5
970,4
971,2
973,1
974,0
975,2
976,0
978,2
979,2
983,8
984,2
988,2
989,2
990,2
991,1
992,1
993,3
994,1
995,9
996,5
998,7
999,2
1000,1
1001,3
1002,8
1003,4
1004,0
1005,0
1006,6
1007,2
1008,4
1009,3
1011,1
1012,5
1013,0
1015,1
1016,1
1017,1
1018,3
1019,3
1020,3
1021,6
1022,2
1023,4
1024,5
1025,4
1026,3
1027,4
1028,1
1029,10
1030,1
1031,4
1032,3
1033,4
1034,4
1035,4
1036,2
1037,1
1038,1
1039,1
1040,0
1041,1
1042,4
1043,3
1044,7
1045,1
1046,1
1047,2
1048,4
1049,5
1050,2
1051,3
1052,4
1053,1
1054,0
1055,1
1056,3
1057,10
1058,6
1059,4
1060,0
1061,0
1062,2
1063,4
1064,1
1065,1
1066,4
1067,5
1068,0
1069,3
1070,1
1071,3
1072,2
1073,1
1074,4
1075,3
1076,4
1077,2
1078,6
1079,2
1080,1
1081,0
1082,4
1083,0
1084,3
1085,1
1086,7
1087,1
1088,8
1089,2
1090,4
1091,3
1093,4
1094,1
1095,3
1096,0
1097,1
1098,2
1099,1
1100,3
1101,1
1103,4
1104,1
1105,1
1106,0
1107,1
1108,4
1109,1
1110,3
1111,3
1112,1
1113,2
1114,13
1115,2
1116,3
1117,2
1118,1
1119,0
1120,4
1121,0
1122,1
1123,0
1124,3
1125,2
1126,3
1127,6
1128,1
1129,8
1130,6
1131,1
1132,3
1133,1
1134,0
1135,2
1136,4
1137,1
1139,2
1140,4
1141,1
1142,1
1143,1
1144,4
1145,1
1146,5
1147,2
1148,0
1149,2
1150,1
1151,0
1152,2
1153,2
1154,3
1155,5
1156,1
1157,0
1158,2
1159,1
1160,1
1161,2
1162,3
1163,3
1164,0
1165,4
1166,1
1167,5
1168,5
1169,0
1170,2
1171,1
1172,1
1173,3
1174,0
1175,4
1176,9
1177,1
1178,3
1179,7
1180,2
1181,1
1182,2
1183,4
1184,0
1186,9
1187,1
1188,4
1189,3
1190,4
1191,3
1192,12
1193,0
1194,0
1195,2
1196,3
1197,3
1198,0
1199,1
1200,0
1201,8
1202,2
1203,7
1205,1
1206,3
1207,0
1208,1
1210,1
1211,1
1212,7
1213,1
1214,3
1215,0
1217,0
1218,3
1219,2
1220,3
1221,0
1222,2
1223,21
1224,8
1225,1
1226,2
1227,0
1228,2
1229,5
1230,2
1231,0
1232,6
1233,2
1234,6
1235,8
1236,0
1237,0
1238,1
1239,2
1240,2
1241,2
1242,2
1243,2
1244,6
1245,1
1246,5
1247,0
1248,1
1249,5
1250,3
1253,5
1254,1
1256,5
1257,1
1258,0
1259,0
1261,0
1262,5
1263,2
1264,1
1265,0
1266,1
1267,0
1268,1
1269,1
1270,4
1271,3
1272,2
1273,1
1274,1
1275,3
1277,4
1278,0
1279,0
1280,2
1281,5
1282,0
1283,2
1284,0
1285,1
1286,1
1287,1
1288,2
1289,0
1290,6
1291,1
1292,4
1293,6
1294,1
1295,1
1296,6
1297,0
1298,0
1299,1
1300,1
1301,3
1302,1
1303,0
1304,1
1305,3
1306,5
1307,2
1308,1
1309,1
1310,0
1311,1
1312,6
1313,18
1314,3
1315,3
1316,0
1317,2
1318,1
1319,1
1320,7
1321,1
1322,3
1323,3
1324,2
1325,0
1326,1
1327,0
1328,4
1329,0
1330,3
1331,1
1332,0
1334,0
1335,5
1336,1
1337,0
1340,4
1342,1
1344,1
1345,1
1346,6
1347,3
1348,9
1349,1
1350,0
1351,1
1352,3
1353,0
1354,0
1355,1
1356,4
1357,4
1358,2
1359,2
1362,0
1363,2
1364,1
1365,1
1366,2
1367,0
1368,7
1369,4
1370,0
1371,0
1372,1
1373,0
1374,0
1375,3
1376,2
1377,0
1378,0
1379,0
1380,3
1382,0
1383,0
1384,0
1385,6
1386,0
1387,1
1388,1
1389,7
1390,1
1391,2
1392,2
1393,2
1394,1
1395,1
1396,1
1397,0
1398,1
1400,1
1401,4
1404,1
1405,1
1406,0
1407,0
1408,1
1409,2
1410,7
1411,2
1412,3
1413,1
1414,0
1415,1
1416,1
1417,0
1418,1
1419,2
1420,2
1421,1
1422,5
1423,2
1424,2
1427,2
1430,1
1431,0
1432,0
1433,8
1434,0
1436,2
1438,0
1440,1
1441,6
1442,1
1444,0
1446,0
1447,2
1451,0
1452,0
1453,0
1454,1
1455,1
1456,0
1457,0
1459,1
1460,0
1461,2
1462,1
1465,4
1466,0
1467,0
1471,1
1472,0
1476,0
1478,1
1479,2
1480,0
1481,1
1483,0
1487,1
